	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
854	YP_002773985.1	ARO:3002815	clbB	clbB	Cfr 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic	antibiotic target alteration
855	YP_003281576.1	ARO:3000815	mgrA	mgrA	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;penam;tetracycline antibiotic;peptide antibiotic;acridine dye	antibiotic efflux
856	YP_003283625.1	ARO:3000178	tet(K)	tet(K)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
857	YP_003971446	ARO:3003730	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacterium ileS conferring resistance to mupirocin	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
858	YP_005226137.1	ARO:3003966	Klebsiella pneumoniae OmpK35	Klebsiella pneumoniae OmpK35	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic;resistance by absence
859	YP_005228001.1	ARO:3003968	Klebsiella pneumoniae OmpK36	Klebsiella pneumoniae OmpK36	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic;resistance by absence
860	YP_006374661.1	ARO:3003438	Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A	Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
861	YP_006938491.1	ARO:3003905	ANT(4)-Ib	ANT(4)-Ib	ANT(4)	aminoglycoside antibiotic	antibiotic inactivation
862	YP_007503840.1	ARO:3000165	tet(A)	tet(A)	major facilitator superfamily (MFS) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
863	YP_007503908.1	ARO:3003306	Morganella morganii gyrB conferring resistance to fluoroquinolone	Morganella morganii gyrB conferring resistance to fluoroquinolone	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic;aminocoumarin antibiotic	antibiotic target alteration
864	YP_007652797.1	ARO:3001205	determinant of bleomycin resistance	BRP(MBL)	Bleomycin resistant protein	glycopeptide antibiotic	antibiotic inactivation
865	YP_008709794.1	ARO:3000251	msrA	msrA	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;streptogramin antibiotic	antibiotic efflux
866	YP_008997281.1	ARO:3002626	ANT(6)-Ia	ANT(6)-Ia	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
867	YP_008997285.1	ARO:3000615	mefA	mefA	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
868	YP_009077553.1	ARO:3002680	catB8	catB8	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
869	YP_009081591.1	ARO:3002613	aadA13	aadA13	ANT(3)	aminoglycoside antibiotic	antibiotic inactivation
870	YP_039482.1	ARO:3003301	Staphylococcus aureus gyrB conferring resistance to aminocoumarin	Staphylococcus aureus gyrB conferring resistance to aminocoumarin	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
871	YP_039483.1	ARO:3003296	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
872	YP_039996.1	ARO:3003285	Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	daptomycin resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration
873	YP_039996.1	ARO:3003285	Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
874	YP_039997.1	ARO:3003291	Staphylococcus aureus rpoC conferring resistance to daptomycin	Staphylococcus aureus rpoC conferring resistance to daptomycin	daptomycin resistant beta prime subunit of RNA polymerase (rpoC)	peptide antibiotic	antibiotic target alteration
875	YP_040771.1	ARO:3003315	Staphylococcus aureus parE conferring resistance to fluoroquinolones	Staphylococcus aureus parE conferring resistance to fluoroquinolones	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
876	YP_108403.1	ARO:3002982	amrA	amrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
877	YP_186749.1	ARO:3000489	sav1866	sav1866	ATP-binding cassette (ABC) antibiotic efflux pump	N/A	antibiotic efflux
878	YP_207769.1	ARO:3003928	Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones	Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
879	YP_208330.1	ARO:3003929	Neisseria gonorrhoeae parC conferring resistance to fluoroquinolone	Neisseria gonorrhoeae parC conferring resistance to fluoroquinolone	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
880	YP_208874.1	ARO:3003930	rpsJ	rpsJ	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
881	YP_489794.1	ARO:3000263	marA	marA	resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic efflux;reduced permeability to antibiotic
882	YP_490321.1	ARO:3000828	baeR	baeR	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;aminocoumarin antibiotic	antibiotic efflux
883	YP_490697.1	ARO:3000491	acrD	acrD	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
884	YP_491362.1	ARO:3003386	Escherichia coli folP with mutation conferring resistance to sulfonamides	Escherichia coli folP with mutation conferring resistance to sulfonamides	sulfonamide resistant dihydropteroate synthase folP	sulfonamide antibiotic;sulfone antibiotic	antibiotic target alteration
885	YP_491919.1	ARO:3000508	gadX	gadX	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
886	YP_499945.1	ARO:3000839	arlS	arlS	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
887	YP_500802.1	ARO:3003074	Staphylococcus aureus cls conferring resistance to daptomycin	Staphylococcus aureus cls conferring resistance to daptomycin	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
888	YP_724476.1	ARO:3003109	msrE	msrE	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;streptogramin antibiotic	antibiotic efflux
889	AAC68679.1	ARO:3001293	desR	desR	NA	NA	NA
890	NP_253290.1	ARO:3000820	NfxB	NfxB	resistance-nodulation-cell division (RND) antibiotic efflux pump	"tetracycline antibiotic,Êphenicol antibiotic,Êdiaminopyrimidine antibiotic,Êaminocoumarin antibiotic,Êfluoroquinolone antibiotic,Êpenam,Êcephalosporin,Êmacrolide antibiotic"	antibiotic efflux
891	AAO82019.1	ARO:3002916	vanV	vanV	vanV;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
892	AFK13827.1	ARO:3000825	robA	robA	resistance-nodulation-cell division (RND) antibiotic efflux pump	"tetracycline antibiotic,Êglycylcycline,Êphenicol antibiotic,Êrifamycin antibiotic,Êcephalosporin,Êpenam,Êfluoroquinolone antibiotic,Êtriclosan"	antibiotic efflux
893	NP_414618.4	ARO:3003843	leuO	leuO	major facilitator superfamily (MFS) antibiotic efflux pump	"nucleoside antibiotic,Êacridine dye"	antibiotic efflux
894	AAC76733.1	ARO:3001215	mdtL	mdtL	major facilitator superfamily (MFS) antibiotic efflux pump	"nucleoside antibiotic,Êacridine dye"	antibiotic efflux
895	AAC12650.1	ARO:3001297	oleR	oleR	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation
896	NP_417969.1	ARO:3003834	gadE	gadE	resistance-nodulation-cell division (RND) antibiotic efflux pump	"penam,Êfluoroquinolone antibiotic,Êmacrolide antibiotic"	antibiotic efflux
897	AAC75138.1	ARO:3001330	mdtD	mdtD	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
898	ABA71726.1	ARO:3000575	vanU	vanU	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
